Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
77.08498,0.00024797668,43.797914416246556,-87.98960950744582,0,1,8506.406,-0.0027978206,6,1,false,false,-0.84645367,1.8397202,8.691387,-2.0912585,0.015083907,3
77.10659,0.0004483125,43.797902805825444,-87.98960901031938,0,1,8521.333,-0.019864937,6,1,false,false,-0.83805585,1.2238322,6.8773875,-2.0910816,0.008403164,3
77.11846,0.0006486894,43.79789128542676,-87.98960851319295,0,1,8558.328,-0.015387995,6,1,false,false,-0.7630263,0.92635274,6.560379,-2.0910673,-0.0002574872,3
77.1325,0.00084910163,43.79787967500564,-87.98960801606651,0,1,8568.548,-0.0069945427,6,1,false,false,-0.4322557,0.9745812,4.7065144,-2.0911517,-0.0035200892,3
77.14768,0.0010495529,43.79786815457262,-87.98960764331649,0,1,8563.806,-0.0075549716,6,1,false,false,-0.49162984,1.0407604,7.162366,-2.091241,-0.0042447364,3
77.16693,0.0012500521,43.79785654422017,-87.98960714656926,0,1,8572.821,-0.014269302,6,1,false,false,-0.79273117,1.4213516,9.93397,-2.0913334,-0.006981653,3
77.18786,0.0014506038,43.797845023752814,-87.98960664944282,0,1,8583.2295,-0.01622756,6,1,false,false,-1.0107763,1.7113745,10.452383,-2.0914564,-0.010452326,3
77.213066,0.0016512141,43.797833413331695,-87.9896061523164,0,1,8571.511,-0.013989087,6,1,false,false,-1.0388218,1.8242121,12.43191,-2.0916336,-0.013745942,3
77.24149,0.0018518963,43.79782189293301,-87.98960565518996,0,1,8548.965,-0.016786903,6,1,false,false,-1.1555437,1.9362569,13.832218,-2.0918274,-0.013331532,3
77.265854,0.0020526468,43.79781028251189,-87.98960528243994,0,1,8541.845,-0.023502318,6,1,false,false,-1.3932987,1.5441635,11.927627,-2.0920303,-0.014431261,3
77.285866,0.0022534553,43.79779867215944,-87.9896047856927,0,1,8550.07,-0.024061669,6,1,false,false,-1.4293113,1.2989666,11.782809,-2.0923018,-0.018817049,3
77.304565,0.0024543116,43.797787061738326,-87.98960428856627,0,1,8555.741,-0.023222098,6,1,false,false,-1.0599499,1.3636372,11.077867,-2.0926206,-0.01892651,3
77.32314,0.002655211,43.79777554133963,-87.98960379143983,0,1,8556.726,-0.021823196,6,1,false,false,-1.4303055,1.3177739,5.841882,-2.0929453,-0.019142536,3
77.342026,0.002856164,43.79776393091852,-87.98960341868981,0,1,8559.107,-0.011471486,6,1,false,false,-1.0701214,1.1658432,7.159332,-2.0932887,-0.017345322,3
77.35776,0.003057165,43.7977523204974,-87.98960292156337,0,1,8568.685,-0.0039175935,6,1,false,false,-0.7003951,0.83488417,5.7213955,-2.0935667,-0.011819785,3
77.36909,0.0032581934,43.79774071007629,-87.98960254881335,0,1,8588.208,0.0011186949,6,1,false,false,-1.0419714,1.3392794,4.0484676,-2.093744,-0.0074095996,3
77.38861,0.0034592748,43.79772909965517,-87.98960205206612,0,1,8598.145,0.0061538997,6,1,false,false,-0.8003496,1.2285284,6.2414236,-2.0938728,-0.002846618,3
77.406876,0.003660402,43.79771748923405,-87.98960155493968,0,1,8592.385,-0.00503737,6,1,false,false,-0.9030581,1.0120378,8.25022,-2.0938828,0.0023989964,3
77.42176,0.0038615733,43.79770587881294,-87.98960118218966,0,1,8596.886,-0.026579265,6,1,false,false,-1.2387276,1.285205,8.64651,-2.0938826,-0.005017571,3
77.44746,0.0040627955,43.79769426839182,-87.98960068506322,0,1,8608.713,-0.045324422,6,1,false,false,-1.7113085,1.9085948,9.087721,-2.0940433,-0.017259404,3
77.473114,0.0042640897,43.79768265803937,-87.9896003123132,0,1,8588.027,-0.048961814,6,1,false,false,-1.9379562,1.8847755,8.60795,-2.0944433,-0.029584762,3
77.4977,0.0044654463,43.79767104761826,-87.98959981518676,0,1,8567.225,-0.047282677,6,1,false,false,-2.0860176,1.2959074,6.848722,-2.0949984,-0.034353882,3
77.515755,0.004666863,43.79765943719714,-87.98959944243674,0,1,8580.975,-0.045324426,6,1,false,false,-2.2804785,1.1654493,8.900638,-2.0956366,-0.039037477,3
77.52847,0.004868318,43.79764782677602,-87.98959906968672,0,1,8607.499,-0.039728798,6,1,false,false,-1.9776471,0.85727906,4.899209,-2.096326,-0.04035714,3
77.545074,0.005069806,43.79763621635491,-87.98959857293949,0,1,8617.6,-0.029377077,6,1,false,false,-2.268385,1.3703084,8.152652,-2.0970051,-0.039431203,3
77.56484,0.005271347,43.797624515911366,-87.98959820018946,0,1,8606.156,-0.010072578,6,1,false,false,-1.8752909,1.2640581,6.9889345,-2.097648,-0.034999747,3
77.58667,0.005472937,43.797612905558914,-87.98959782743943,0,1,8604.519,0.0064341156,6,1,false,false,-1.6427226,1.6600795,10.317156,-2.0981338,-0.022631848,3
77.60737,0.0056745913,43.7976012951378,-87.9895974546894,0,1,8610.884,0.020142986,6,1,false,false,-1.3227859,1.2995791,10.152476,-2.0983846,-0.007987041,3
77.62862,0.0058762953,43.79758959469426,-87.98959708193938,0,1,8610.249,0.021821033,6,1,false,false,-0.8944526,1.5438404,11.634093,-2.098371,0.007265578,3
77.650604,0.0060780556,43.79757798427314,-87.98959670881015,0,1,8602.34,0.013148442,6,1,false,false,-0.7624996,1.4965663,10.784997,-2.098145,0.016513249,3
77.67382,0.006279878,43.79756637385202,-87.98959633606013,0,1,8596.84,0.0016780421,6,1,false,false,-0.46267572,1.4523062,7.6444683,-2.097851,0.017037932,3
77.69412,0.0064817546,43.797554673477144,-87.98959596331011,0,1,8597.867,-0.002518685,6,1,false,false,-0.36345315,1.3032053,7.2109466,-2.0976224,0.0125899585,3
77.711105,0.0066836793,43.79754306305603,-87.98959559056009,0,1,8605.416,-0.002239552,6,1,false,false,-0.35671598,0.9341534,6.0038214,-2.097491,0.0074271574,3
77.72451,0.0068856473,43.79753136261249,-87.98959521781006,0,1,8619.884,-0.0016791229,6,1,false,false,-0.31180906,0.9713768,5.5821276,-2.0974393,0.0035574043,3
77.73947,0.0070876484,43.79751975219137,-87.98959472106283,0,1,8634.561,-0.00056042906,6,1,false,false,0.030602813,1.0134186,5.6738296,-2.0974138,0.0034613472,3
77.75459,0.0072896923,43.79750805181649,-87.98959434831279,0,1,8641.472,-0.007835188,6,1,false,false,-0.30931056,1.0496851,6.5600386,-2.0973835,0.0014941094,3
77.77516,0.0074917814,43.79749644139538,-87.98959397556277,0,1,8642.705,-0.0120319165,6,1,false,false,-0.42379463,1.5717738,8.070228,-2.0973973,-0.0025204264,3
77.79788,0.0076939287,43.79748474095184,-87.98959360243354,0,1,8638.499,-0.009234096,6,1,false,false,-0.24616802,1.4213479,8.626491,-2.0974715,-0.006195587,3
77.82116,0.007896137,43.79747304057696,-87.98959322968352,0,1,8632.374,-0.0030780318,6,1,false,false,-0.062580645,1.2434478,11.643474,-2.0975776,-0.00663819,3
77.84342,0.008098405,43.79746143015584,-87.9895928569335,0,1,8630.487,0.003636297,6,1,false,false,-0.39933035,1.495382,15.800403,-2.0976546,-0.0058624204,3
77.86548,0.008300728,43.7974497297123,-87.98959248418348,0,1,8628.919,0.011190189,6,1,false,false,-0.015995234,1.6005117,13.685559,-2.0976565,0.00035294675,3
77.88953,0.008503112,43.79743802933742,-87.98959211143345,0,1,8619.892,0.008951717,6,1,false,false,-0.3896038,1.7336178,14.522691,-2.0975535,0.00535266,3
77.91386,0.008705559,43.79742632889388,-87.98959173868343,0,1,8604.5205,0.004195645,6,1,false,false,0.0050924122,1.4114761,12.619031,-2.0974317,0.0074158753,3
77.932785,0.008908062,43.797414718472766,-87.9895913659334,0,1,8606.623,-0.005875849,6,1,false,false,-0.5769401,1.1611564,10.390861,-2.0972977,0.006231069,3
77.946045,0.009110604,43.79740301809789,-87.98959099318337,0,1,8624.386,-0.011191271,6,1,false,false,-0.57505286,0.87515974,14.122919,-2.0972495,-0.0013986005,3
77.96291,0.009313177,43.797391317654345,-87.98959062043335,0,1,8637.177,-0.021542978,6,1,false,false,-0.8842823,1.4128993,10.599087,-2.0973017,-0.0077727214,3
77.98021,0.009515795,43.7973796172108,-87.98959024768332,0,1,8629.734,-0.031335343,6,1,false,false,-1.0053864,1.6835316,9.456834,-2.0974844,-0.0144103,3
